x	y	dataset
1	0.009135185000172116	PacBio_CLR
1	0.0019898279835672194	PacBio_CCS
1	0.00030747059218841794	10xG
1	0.027740285207651653	ONT
1.95	0.006745831319864821	PacBio_CCS
2.05	0.006745831319864821	PacBio_CLR
1.95	0.005920795754980634	10xG
2.05	0.005920795754980634	PacBio_CLR
1.95	0.003082883850500519	10xG
2.05	0.003082883850500519	PacBio_CCS
1.95	0.010928548885459374	ONT
2.05	0.010928548885459374	PacBio_CLR
1.95	0.0036823955959409144	ONT
2.05	0.0036823955959409144	PacBio_CCS
1.95	0.01049718097873576	ONT
2.05	0.01049718097873576	10xG
2.9	0.0032690271993720942	10xG
3	0.0032690271993720942	PacBio_CCS
3.1	0.0032690271993720942	PacBio_CLR
2.9	0.0062846597586579565	ONT
3	0.0062846597586579565	PacBio_CCS
3.1	0.0062846597586579565	PacBio_CLR
2.9	0.007450069336103734	ONT
3	0.007450069336103734	10xG
3.1	0.007450069336103734	PacBio_CLR
2.9	0.002981531454864595	ONT
3	0.002981531454864595	10xG
3.1	0.002981531454864595	PacBio_CCS
3.85	0.004110941263586143	ONT
3.95	0.004110941263586143	10xG
4.05	0.004110941263586143	PacBio_CCS
4.15	0.004110941263586143	PacBio_CLR
