x	y	dataset	num_datasets
1	112595	PacBio_CLR	1
1	80610	PacBio_CCS	1
1	4191846	10xG	1
1	5409652	ONT	1
1.95	11338923	PacBio_CCS	2
2.05	11338923	PacBio_CLR	2
1.95	13106197	10xG	2
2.05	13106197	PacBio_CLR	2
1.95	13106197	10xG	2
2.05	13106197	PacBio_CCS	2
1.95	11284818	ONT	2
2.05	11284818	PacBio_CLR	2
1.95	11284818	ONT	2
2.05	11284818	PacBio_CCS	2
1.95	13349866	ONT	2
2.05	13349866	10xG	2
2.9	13018533	10xG	3
3	13018533	PacBio_CCS	3
3.1	13018533	PacBio_CLR	3
2.9	11284818	ONT	3
3	11284818	PacBio_CCS	3
3.1	11284818	PacBio_CLR	3
2.9	13239340	ONT	3
3	13239340	10xG	3
3.1	13239340	PacBio_CLR	3
2.9	13285605	ONT	3
3	13285605	10xG	3
3.1	13285605	PacBio_CCS	3
3.85	13239340	ONT	4
3.95	13239340	10xG	4
4.05	13239340	PacBio_CCS	4
4.15	13239340	PacBio_CLR	4
