x	y	dataset	num_datasets
1	24129	PacBio_CLR	1
1	27407	PacBio_CCS	1
1	2021	10xG	1
1	1231	ONT	1
1.95	972	PacBio_CCS	2
2.05	972	PacBio_CLR	2
1.95	843	10xG	2
2.05	843	PacBio_CLR	2
1.95	600	10xG	2
2.05	600	PacBio_CCS	2
1.95	973	ONT	2
2.05	973	PacBio_CLR	2
1.95	805	ONT	2
2.05	805	PacBio_CCS	2
1.95	685	ONT	2
2.05	685	10xG	2
2.9	856	10xG	3
3	856	PacBio_CCS	3
3.1	856	PacBio_CLR	3
2.9	979	ONT	3
3	979	PacBio_CCS	3
3.1	979	PacBio_CLR	3
2.9	888	ONT	3
3	888	10xG	3
3.1	888	PacBio_CLR	3
2.9	727	ONT	3
3	727	10xG	3
3.1	727	PacBio_CCS	3
3.85	894	ONT	4
3.95	894	10xG	4
4.05	894	PacBio_CCS	4
4.15	894	PacBio_CLR	4
