x	y	dataset	num_datasets
1	0.9928017802597514	PacBio_CLR	1
1	0.9924832502657074	PacBio_CCS	1
1	0.9806076979897428	10xG	1
1	0.9928886883182015	ONT	1
1.95	0.9951805893642077	PacBio_CCS	2
2.05	0.9951805893642077	PacBio_CLR	2
1.95	0.9973265805506144	10xG	2
2.05	0.9973265805506144	PacBio_CLR	2
1.95	0.9969936987671015	10xG	2
2.05	0.9969936987671015	PacBio_CCS	2
1.95	0.9990204903687533	ONT	2
2.05	0.9990204903687533	PacBio_CLR	2
1.95	0.9989012907839984	ONT	2
2.05	0.9989012907839984	PacBio_CCS	2
1.95	0.9973102354570527	ONT	2
2.05	0.9973102354570527	10xG	2
2.9	0.9981111450415764	10xG	3
3	0.9981111450415764	PacBio_CCS	3
3.1	0.9981111450415764	PacBio_CLR	3
2.9	0.9992058676493921	ONT	3
3	0.9992058676493921	PacBio_CCS	3
3.1	0.9992058676493921	PacBio_CLR	3
2.9	0.9991962997897463	ONT	3
3	0.9991962997897463	10xG	3
3.1	0.9991962997897463	PacBio_CLR	3
2.9	0.9989933814330899	ONT	3
3	0.9989933814330899	10xG	3
3.1	0.9989933814330899	PacBio_CCS	3
3.85	0.9992684573979089	ONT	4
3.95	0.9992684573979089	10xG	4
4.05	0.9992684573979089	PacBio_CCS	4
4.15	0.9992684573979089	PacBio_CLR	4
