bin_start	bins	bin_size	phase_status	count	percent	total_var
0	[0,2000)	2000	phased_correct	2123279	0.9783573221321609	2170249
0	[0,2000)	2000	phased_incorrect	640	0.0002948970371602521	2170249
0	[0,2000)	2000	unphased	46330	0.021347780830678877	2170249
2000	[2000,4000)	2000	phased_correct	149662	0.9625184899350441	155490
2000	[2000,4000)	2000	phased_incorrect	83	0.000533796385619654	155490
2000	[2000,4000)	2000	unphased	5745	0.03694771367933629	155490
4000	[4000,6000)	2000	phased_correct	37603	0.9401455109133185	39997
4000	[4000,6000)	2000	phased_incorrect	24	0.0006000450033752531	39997
4000	[4000,6000)	2000	unphased	2370	0.05925444408330625	39997
6000	[6000,8000)	2000	phased_correct	16440	0.9183844477962125	17901
6000	[6000,8000)	2000	phased_incorrect	15	0.0008379420144126027	17901
6000	[6000,8000)	2000	unphased	1446	0.08077761018937489	17901
8000	[8000,10000)	2000	phased_correct	9857	0.8958465872943743	11003
8000	[8000,10000)	2000	phased_incorrect	10	0.0009088430428065074	11003
8000	[8000,10000)	2000	unphased	1136	0.10324456966281922	11003
10000	[10000,12000)	2000	phased_correct	6535	0.8763577846318895	7457
10000	[10000,12000)	2000	phased_incorrect	8	0.001072817486925037	7457
10000	[10000,12000)	2000	unphased	914	0.12256939788118547	7457
12000	[12000,14000)	2000	phased_correct	4791	0.8648014440433213	5540
12000	[12000,14000)	2000	phased_incorrect	5	0.0009025270758122744	5540
12000	[12000,14000)	2000	unphased	744	0.13429602888086642	5540
14000	[14000,16000)	2000	phased_correct	3705	0.8560536044362292	4328
14000	[14000,16000)	2000	phased_incorrect	13	0.0030036968576709795	4328
14000	[14000,16000)	2000	unphased	610	0.14094269870609982	4328
16000	[16000,18000)	2000	phased_correct	2928	0.845021645021645	3465
16000	[16000,18000)	2000	phased_incorrect	4	0.0011544011544011544	3465
16000	[16000,18000)	2000	unphased	533	0.15382395382395384	3465
18000	[18000,20000)	2000	phased_correct	2340	0.8378088077336198	2793
18000	[18000,20000)	2000	phased_incorrect	7	0.002506265664160401	2793
18000	[18000,20000)	2000	unphased	446	0.15968492660221983	2793
20000	[20000,22000)	2000	phased_correct	1923	0.8232020547945206	2336
20000	[20000,22000)	2000	phased_incorrect	3	0.0012842465753424657	2336
20000	[20000,22000)	2000	unphased	410	0.175513698630137	2336
22000	[22000,24000)	2000	phased_correct	1533	0.8038804404824331	1907
22000	[22000,24000)	2000	phased_incorrect	4	0.002097535395909806	1907
22000	[22000,24000)	2000	unphased	370	0.19402202412165706	1907
24000	[24000,26000)	2000	phased_correct	1331	0.7880402605091771	1689
24000	[24000,26000)	2000	phased_incorrect	4	0.002368265245707519	1689
24000	[24000,26000)	2000	unphased	354	0.20959147424511546	1689
26000	[26000,28000)	2000	phased_correct	1093	0.7680955727336612	1423
26000	[26000,28000)	2000	phased_incorrect	3	0.0021082220660576245	1423
26000	[26000,28000)	2000	unphased	327	0.2297962052002811	1423
28000	[28000,30000)	2000	phased_correct	875	0.7504288164665524	1166
28000	[28000,30000)	2000	phased_incorrect	2	0.0017152658662092624	1166
28000	[28000,30000)	2000	unphased	289	0.2478559176672384	1166
30000	[30000,inf)	inf	phased_correct	5232	0.6241947029348605	8382
30000	[30000,inf)	inf	phased_incorrect	60	0.0071581961345740875	8382
30000	[30000,inf)	inf	unphased	3090	0.3686471009305655	8382
