bin_start	bins	bin_size	phase_status	count	percent	total_var
0	[0,2000)	2000	phased_correct	2104861	0.9391522977287076	2241235
0	[0,2000)	2000	phased_incorrect	108045	0.048207796148105844	2241235
0	[0,2000)	2000	unphased	28329	0.012639906123186547	2241235
2000	[2000,4000)	2000	phased_correct	143298	0.9202640738790346	155714
2000	[2000,4000)	2000	phased_incorrect	10218	0.06562030389046586	155714
2000	[2000,4000)	2000	unphased	2198	0.014115622230499506	155714
4000	[4000,6000)	2000	phased_correct	36749	0.909786349119897	40393
4000	[4000,6000)	2000	phased_incorrect	3063	0.0758299705394499	40393
4000	[4000,6000)	2000	unphased	581	0.014383680340653083	40393
6000	[6000,8000)	2000	phased_correct	16471	0.9020756887014623	18259
6000	[6000,8000)	2000	phased_incorrect	1486	0.0813845227011337	18259
6000	[6000,8000)	2000	unphased	302	0.01653978859740402	18259
8000	[8000,10000)	2000	phased_correct	10072	0.8910120311394196	11304
8000	[8000,10000)	2000	phased_incorrect	1034	0.09147204529370134	11304
8000	[8000,10000)	2000	unphased	198	0.01751592356687898	11304
10000	[10000,12000)	2000	phased_correct	6849	0.8895960514352513	7699
10000	[10000,12000)	2000	phased_incorrect	719	0.09338875178594623	7699
10000	[10000,12000)	2000	unphased	131	0.017015196778802442	7699
12000	[12000,14000)	2000	phased_correct	5060	0.8763422237616904	5774
12000	[12000,14000)	2000	phased_incorrect	588	0.10183581572566679	5774
12000	[12000,14000)	2000	unphased	126	0.02182196051264288	5774
14000	[14000,16000)	2000	phased_correct	3925	0.8784691136974038	4468
14000	[14000,16000)	2000	phased_incorrect	440	0.09847806624888093	4468
14000	[14000,16000)	2000	unphased	103	0.023052820053715308	4468
16000	[16000,18000)	2000	phased_correct	3080	0.863470703672554	3567
16000	[16000,18000)	2000	phased_incorrect	362	0.10148584244463134	3567
16000	[16000,18000)	2000	unphased	125	0.03504345388281469	3567
18000	[18000,20000)	2000	phased_correct	2509	0.8693693693693694	2886
18000	[18000,20000)	2000	phased_incorrect	284	0.0984060984060984	2886
18000	[18000,20000)	2000	unphased	93	0.032224532224532226	2886
20000	[20000,22000)	2000	phased_correct	2053	0.8702840186519711	2359
20000	[20000,22000)	2000	phased_incorrect	232	0.0983467571004663	2359
20000	[20000,22000)	2000	unphased	74	0.03136922424756253	2359
22000	[22000,24000)	2000	phased_correct	1668	0.8553846153846154	1950
22000	[22000,24000)	2000	phased_incorrect	197	0.10102564102564103	1950
22000	[22000,24000)	2000	unphased	85	0.04358974358974359	1950
24000	[24000,26000)	2000	phased_correct	1443	0.844847775175644	1708
24000	[24000,26000)	2000	phased_incorrect	171	0.10011709601873536	1708
24000	[24000,26000)	2000	unphased	94	0.05503512880562061	1708
26000	[26000,28000)	2000	phased_correct	1211	0.8386426592797784	1444
26000	[26000,28000)	2000	phased_incorrect	155	0.10734072022160665	1444
26000	[26000,28000)	2000	unphased	78	0.054016620498614956	1444
28000	[28000,30000)	2000	phased_correct	979	0.8353242320819113	1172
28000	[28000,30000)	2000	phased_incorrect	118	0.10068259385665529	1172
28000	[28000,30000)	2000	unphased	75	0.06399317406143344	1172
30000	[30000,inf)	inf	phased_correct	6159	0.7293936522974893	8444
30000	[30000,inf)	inf	phased_incorrect	873	0.10338702036949313	8444
30000	[30000,inf)	inf	unphased	1412	0.16721932733301753	8444
