bin_start	bins	error_rate	total_phased	total_vars
0	[0,2000)	109428.1616910072	2104861	2241235
2000	[2000,4000)	10364.298522629564	143298	155714
4000	[4000,6000)	3107.700165779162	36749	40393
6000	[6000,8000)	1510.9914796458206	16471	18259
8000	[8000,10000)	1052.4343598055107	10072	11304
10000	[10000,12000)	731.4456923890064	6849	7699
12000	[12000,14000)	601.1175637393767	5060	5774
14000	[14000,16000)	450.38258877434134	3925	4468
16000	[16000,18000)	375.1464264962231	3080	3567
18000	[18000,20000)	293.45649838882923	2509	2886
20000	[20000,22000)	239.51334792122537	2053	2359
22000	[22000,24000)	205.97855227882036	1668	1950
24000	[24000,26000)	180.95910780669143	1443	1708
26000	[26000,28000)	163.8506588579795	1211	1444
28000	[28000,30000)	126.06745670009116	979	1172
30000	[30000,inf)	1048.2952218430034	6159	8444
