bin_start	bins	bin_size	phase_status	count	percent	total_var
0	[0,2000)	2000	phased_correct	2231705	0.9957478800750479	2241235
0	[0,2000)	2000	phased_incorrect	6131	0.0027355453578049604	2241235
0	[0,2000)	2000	unphased	3399	0.001516574567147131	2241235
2000	[2000,4000)	2000	phased_correct	154543	0.9924798027152344	155714
2000	[2000,4000)	2000	phased_incorrect	639	0.004103677254453678	155714
2000	[2000,4000)	2000	unphased	532	0.0034165200303119822	155714
4000	[4000,6000)	2000	phased_correct	39786	0.9849726437749114	40393
4000	[4000,6000)	2000	phased_incorrect	242	0.00599113707820662	40393
4000	[4000,6000)	2000	unphased	365	0.009036219146881885	40393
6000	[6000,8000)	2000	phased_correct	17776	0.973547291746536	18259
6000	[6000,8000)	2000	phased_incorrect	167	0.009146174489292952	18259
6000	[6000,8000)	2000	unphased	316	0.017306533764171093	18259
8000	[8000,10000)	2000	phased_correct	9515	0.8417374380750177	11304
8000	[8000,10000)	2000	phased_incorrect	165	0.014596602972399151	11304
8000	[8000,10000)	2000	unphased	1624	0.14366595895258316	11304
10000	[10000,12000)	2000	phased_correct	654	0.08494609689570073	7699
10000	[10000,12000)	2000	phased_incorrect	21	0.0027276269645408495	7699
10000	[10000,12000)	2000	unphased	7024	0.9123262761397584	7699
12000	[12000,14000)	2000	phased_correct	46	0.00796674748874264	5774
12000	[12000,14000)	2000	phased_incorrect	2	0.00034638032559750607	5774
12000	[12000,14000)	2000	unphased	5726	0.9916868721856599	5774
14000	[14000,16000)	2000	phased_correct	17	0.0038048343777976725	4468
14000	[14000,16000)	2000	phased_incorrect	2	0.0004476275738585497	4468
14000	[14000,16000)	2000	unphased	4449	0.9957475380483438	4468
16000	[16000,18000)	2000	phased_correct	8	0.00224278104850014	3567
16000	[16000,18000)	2000	phased_incorrect	0	0.0	3567
16000	[16000,18000)	2000	unphased	3559	0.9977572189514998	3567
18000	[18000,20000)	2000	phased_correct	3	0.0010395010395010396	2886
18000	[18000,20000)	2000	phased_incorrect	0	0.0	2886
18000	[18000,20000)	2000	unphased	2883	0.998960498960499	2886
20000	[20000,22000)	2000	phased_correct	0	0	2359
20000	[20000,22000)	2000	phased_incorrect	0	0	2359
20000	[20000,22000)	2000	unphased	2359	1.0	2359
22000	[22000,24000)	2000	phased_correct	0	0	1950
22000	[22000,24000)	2000	phased_incorrect	0	0	1950
22000	[22000,24000)	2000	unphased	1950	1.0	1950
24000	[24000,26000)	2000	phased_correct	0	0	1708
24000	[24000,26000)	2000	phased_incorrect	0	0	1708
24000	[24000,26000)	2000	unphased	1708	1.0	1708
26000	[26000,28000)	2000	phased_correct	0	0	1444
26000	[26000,28000)	2000	phased_incorrect	0	0	1444
26000	[26000,28000)	2000	unphased	1444	1.0	1444
28000	[28000,30000)	2000	phased_correct	0	0	1172
28000	[28000,30000)	2000	phased_incorrect	0	0	1172
28000	[28000,30000)	2000	unphased	1172	1.0	1172
30000	[30000,inf)	inf	phased_correct	0	0	8444
30000	[30000,inf)	inf	phased_incorrect	0	0	8444
30000	[30000,inf)	inf	unphased	8444	1.0	8444
