bin_start	bins	error_rate	total_phased	total_vars
0	[0,2000)	6140.312241379619	2231705	2241235
2000	[2000,4000)	641.1906406670877	154543	155714
4000	[4000,6000)	244.2067053062856	39786	40393
6000	[6000,8000)	169.94109123335005	17776	18259
8000	[8000,10000)	192.6818181818182	9515	11304
10000	[10000,12000)	239.52444444444444	654	7699
12000	[12000,14000)	240.58333333333331	46	5774
14000	[14000,16000)	470.3157894736843	17	4468
16000	[16000,18000)	0.0	8	3567
18000	[18000,20000)	0.0	3	2886
20000	[20000,22000)	NA	0	2359
22000	[22000,24000)	NA	0	1950
24000	[24000,26000)	NA	0	1708
26000	[26000,28000)	NA	0	1444
28000	[28000,30000)	NA	0	1172
30000	[30000,inf)	NA	0	8444
