bin_start	bins	bin_size	phase_status	count	percent	total_var
0	[0,2000)	2000	phased_correct	2201473	0.9822588885145913	2241235
0	[0,2000)	2000	phased_incorrect	29962	0.013368522265625871	2241235
0	[0,2000)	2000	unphased	9800	0.004372589219782843	2241235
2000	[2000,4000)	2000	phased_correct	151144	0.9706513222960043	155714
2000	[2000,4000)	2000	phased_incorrect	3728	0.023941328332712536	155714
2000	[2000,4000)	2000	unphased	842	0.00540734937128325	155714
4000	[4000,6000)	2000	phased_correct	38353	0.9494961998366054	40393
4000	[4000,6000)	2000	phased_incorrect	1594	0.03946228306884856	40393
4000	[4000,6000)	2000	unphased	446	0.011041517094546085	40393
6000	[6000,8000)	2000	phased_correct	16422	0.8993920806177775	18259
6000	[6000,8000)	2000	phased_incorrect	1068	0.05849170272194534	18259
6000	[6000,8000)	2000	unphased	769	0.04211621666027712	18259
8000	[8000,10000)	2000	phased_correct	8649	0.7651273885350318	11304
8000	[8000,10000)	2000	phased_incorrect	882	0.07802547770700637	11304
8000	[8000,10000)	2000	unphased	1773	0.15684713375796178	11304
10000	[10000,12000)	2000	phased_correct	4213	0.547213923886219	7699
10000	[10000,12000)	2000	phased_incorrect	532	0.06909988310170152	7699
10000	[10000,12000)	2000	unphased	2954	0.3836861930120795	7699
12000	[12000,14000)	2000	phased_correct	1855	0.3212677519916869	5774
12000	[12000,14000)	2000	phased_incorrect	257	0.04450987183927953	5774
12000	[12000,14000)	2000	unphased	3662	0.6342223761690337	5774
14000	[14000,16000)	2000	phased_correct	775	0.173455684870188	4468
14000	[14000,16000)	2000	phased_incorrect	91	0.02036705461056401	4468
14000	[14000,16000)	2000	unphased	3602	0.806177260519248	4468
16000	[16000,18000)	2000	phased_correct	281	0.07877768432856742	3567
16000	[16000,18000)	2000	phased_incorrect	41	0.011494252873563218	3567
16000	[16000,18000)	2000	unphased	3245	0.9097280627978693	3567
18000	[18000,20000)	2000	phased_correct	83	0.02875952875952876	2886
18000	[18000,20000)	2000	phased_incorrect	14	0.004851004851004851	2886
18000	[18000,20000)	2000	unphased	2789	0.9663894663894664	2886
20000	[20000,22000)	2000	phased_correct	26	0.011021619330224672	2359
20000	[20000,22000)	2000	phased_incorrect	4	0.001695633743111488	2359
20000	[20000,22000)	2000	unphased	2329	0.9872827469266638	2359
22000	[22000,24000)	2000	phased_correct	8	0.0041025641025641026	1950
22000	[22000,24000)	2000	phased_incorrect	5	0.002564102564102564	1950
22000	[22000,24000)	2000	unphased	1937	0.9933333333333333	1950
24000	[24000,26000)	2000	phased_correct	5	0.002927400468384075	1708
24000	[24000,26000)	2000	phased_incorrect	0	0.0	1708
24000	[24000,26000)	2000	unphased	1703	0.997072599531616	1708
26000	[26000,28000)	2000	phased_correct	0	0	1444
26000	[26000,28000)	2000	phased_incorrect	0	0	1444
26000	[26000,28000)	2000	unphased	1444	1.0	1444
28000	[28000,30000)	2000	phased_correct	0	0	1172
28000	[28000,30000)	2000	phased_incorrect	0	0	1172
28000	[28000,30000)	2000	unphased	1172	1.0	1172
30000	[30000,inf)	inf	phased_correct	1	0.00011842728564661298	8444
30000	[30000,inf)	inf	phased_incorrect	0	0.0	8444
30000	[30000,inf)	inf	unphased	8443	0.9998815727143534	8444
