bin_start	bins	error_rate	total_phased	total_vars
0	[0,2000)	30093.58689363571	2201473	2241235
2000	[2000,4000)	3748.268195671264	151144	155714
4000	[4000,6000)	1611.7966806017973	38353	40393
6000	[6000,8000)	1114.9578044596913	16422	18259
8000	[8000,10000)	1046.0736543909347	8649	11304
10000	[10000,12000)	863.1966280295047	4213	7699
12000	[12000,14000)	702.6126893939394	1855	5774
14000	[14000,16000)	469.5011547344111	775	4468
16000	[16000,18000)	454.1832298136646	281	3567
18000	[18000,20000)	416.5360824742268	83	2886
20000	[20000,22000)	314.5333333333333	26	2359
22000	[22000,24000)	750.0	8	1950
24000	[24000,26000)	0.0	5	1708
26000	[26000,28000)	NA	0	1444
28000	[28000,30000)	NA	0	1172
30000	[30000,inf)	0.0	1	8444
