#sample	chromosome	file_name	variants	phased	unphased	singletons	blocks	variant_per_block_median	variant_per_block_avg	variant_per_block_min	variant_per_block_max	variant_per_block_sum	bp_per_block_median	bp_per_block_avg	bp_per_block_min	bp_per_block_max	bp_per_block_sum	heterozygous_variants	heterozygous_snvs	phased_snvs	block_n50
NA12878	chr1	../out/consensus_phase.vcf.gz	314053	182750	377	8	173	11	1056.35838150289	2	23864	182750	481056	2135074.38150289	18	27348809	369367868	183135	157981	157612	2470844
NA12878	chr2	../out/consensus_phase.vcf.gz	333379	198190	279	10	126	12.0	1572.936507936508	2	22115	198190	1258131.0	2987407.6587301586	12	21994330	376413365	198479	172040	171761	3428371
NA12878	chr3	../out/consensus_phase.vcf.gz	278545	169563	97	6	130	10.0	1304.3307692307692	2	22873	169563	383231.0	2322125.1923076925	6	25510697	301876275	169666	146886	146790	2937998
NA12878	chr4	../out/consensus_phase.vcf.gz	299912	174361	47	4	99	13	1761.2222222222222	2	24239	174361	1316585	3185238.0	8	23226020	315338562	174412	151380	151331	3266985
NA12878	chr5	../out/consensus_phase.vcf.gz	249996	157462	27	5	88	19.5	1789.340909090909	2	42638	157462	1526071.0	3334154.647727273	4	46274345	293405609	157494	136473	136448	4448852
NA12878	chr6	../out/consensus_phase.vcf.gz	264019	170549	20	1	57	28	2992.0877192982457	2	33333	170549	3769598	5286138.350877193	1	33402590	301309886	170570	147925	147905	4665520
NA12878	chr7	../out/consensus_phase.vcf.gz	232296	140330	16	3	71	13	1976.4788732394366	2	43971	140330	1289022	3789355.1549295774	337	43406653	269044216	140349	121405	121392	3637444
NA12878	chr8	../out/consensus_phase.vcf.gz	214141	130722	50	6	66	13.0	1980.6363636363637	2	23974	130722	1357881.5	3580428.212121212	4	25342736	236308262	130778	114416	114370	4450608
NA12878	chr9	../out/consensus_phase.vcf.gz	177110	108015	129	13	104	18.0	1038.6057692307693	2	36095	108015	312697.0	1909290.8461538462	2	33432497	198566248	108157	94583	94453	2614303
NA12878	chr10	../out/consensus_phase.vcf.gz	207407	128365	117	7	75	10	1711.5333333333333	2	26273	128365	748645	2904045.2133333334	12	23514723	217803391	128489	111454	111340	3677994
NA12878	chr11	../out/consensus_phase.vcf.gz	206426	119295	126	4	67	15	1780.5223880597016	2	21520	119295	1515221	3099647.3880597013	3	24125868	207676375	119425	104132	104003	2722065
NA12878	chr12	../out/consensus_phase.vcf.gz	190819	113959	114	3	77	13	1479.987012987013	2	15957	113959	1103133	2916492.0	19	19310888	224569884	114076	98097	97985	3107768
NA12878	chr13	../out/consensus_phase.vcf.gz	158374	88875	12	1	34	37.0	2613.970588235294	2	37104	88875	1917674.0	4960430.382352941	1	39675987	168654633	88888	77075	77064	5304758
NA12878	chr14	../out/consensus_phase.vcf.gz	128195	78873	13	5	48	22.5	1643.1875	2	27539	78873	918797.0	3047811.1875	1114	27008178	146294937	78891	68131	68118	2875950
NA12878	chr15	../out/consensus_phase.vcf.gz	117282	68545	45	4	68	11.5	1008.0147058823529	2	16029	68545	383701.0	1989249.8235294118	26	14864026	135268988	68594	59662	59619	1476725
NA12878	chr16	../out/consensus_phase.vcf.gz	121806	76634	34	3	52	11.5	1473.7307692307693	2	18632	76634	864302.5	2460640.0384615385	82	18621903	127953282	76671	67215	67182	2393852
NA12878	chr17	../out/consensus_phase.vcf.gz	107431	63801	45	8	60	19.5	1063.35	2	11127	63801	512929.5	1885252.55	1	14202552	113115153	63854	54483	54437	2055956
NA12878	chr18	../out/consensus_phase.vcf.gz	120635	70896	175	5	61	4	1162.2295081967213	2	24043	70896	3801	2191740.573770492	1	25686394	133696175	71076	61741	61568	5386441
NA12878	chr19	../out/consensus_phase.vcf.gz	92795	59812	2	1	34	20.0	1759.1764705882354	2	14195	59812	1545864.5	2875951.3235294116	807	11626023	97782345	59815	50746	50745	2381927
NA12878	chr20	../out/consensus_phase.vcf.gz	89291	57385	58	2	60	19.0	956.4166666666666	2	20997	57385	223108.0	1728231.7666666666	44	20822868	103693906	57445	49908	49850	2589069
NA12878	chr21	../out/consensus_phase.vcf.gz	58089	35147	5	0	22	10.5	1597.590909090909	2	16773	35147	215319.5	2960550.409090909	14	18049618	65132109	35152	30571	30567	4139127
NA12878	chr22	../out/consensus_phase.vcf.gz	54706	36553	9	2	36	22.0	1015.3611111111111	2	25842	36553	261100.0	1675519.1944444445	7269	24701685	60318691	36564	31534	31524	1021090
NA12878	chrX	../out/consensus_phase.vcf.gz	126383	76387	27	4	84	19.0	909.3690476190476	2	10281	76387	1388221.0	2563423.6071428573	243	15729842	215327583	76418	65504	65479	1629104
NA12878	ALL	../out/consensus_phase.vcf.gz	4143090	2506469	1824	105	1692	13.0	1481.364657210402	2	43971	2506469	906626.0	2765317.8150118203	1	46274345	4678917743	2508398	2173342	2171543	3020602
